,Architecture,n_h_l,n_n,Run,Status,K,K1,K2,K3,K4,K5,K6,K7,K8
32,DLGN-SF,8,64,mean,UnLearned,130.34,81.15,83.64,84.15,85.11,75.17,89.07,96.35,94.93
33,DLGN-SF,8,64,mean,Learned,140.57,114.28,99.86,95.71,107.67,113.61,115.01,111.31,109.06
34,DLGN-SF,8,128,mean,UnLearned,130.86,71.38,80.72,74.88,77.43,67.81,79.89,79.62,79.1
35,DLGN-SF,8,128,mean,Learned,144.42,104.72,90.21,76.56,79.48,80.74,91.91,97.06,80.83
0,DLGN,3,256,mean,UnLearned,114.1,82.02,83.6,83.7,Null,Null,,,
1,DLGN,3,256,mean,Learned,127.39,106.46,99.24,100.69,Null,Null,,,
2,DLGN,3,512,mean,UnLearned,91.31,57.64,61.0,62.19,Null,Null,,,
3,DLGN,3,512,mean,Learned,98.09,85.03,70.2,53.54,Null,Null,,,
4,DLGN,4,256,mean,UnLearned,113.68,72.17,71.28,70.49,66.21,Null,,,
5,DLGN,4,256,mean,Learned,99.43,104.48,88.72,85.42,80.57,Null,,,
6,DLGN,4,512,mean,UnLearned,103.75,70.65,72.49,71.04,65.26,Null,,,
7,DLGN,4,512,mean,Learned,104.06,93.17,68.97,69.42,69.16,Null,,,
8,DLGN,5,256,mean,UnLearned,109.78,74.64,70.46,70.86,62.79,55.83,,,
9,DLGN,5,256,mean,Learned,102.72,91.9,80.28,71.73,68.25,68.92,,,
10,DLGN,5,512,mean,UnLearned,128.93,87.18,88.89,88.56,82.95,73.74,,,
11,DLGN,5,512,mean,Learned,82.65,69.59,47.12,39.56,38.42,37.4,,,
12,DLGN-SF,3,256,mean,UnLearned,98.82,72.11,76.82,75.57,Null,Null,,,
13,DLGN-SF,3,256,mean,Learned,93.7,77.75,61.97,58.73,Null,Null,,,
14,DLGN-SF,3,512,mean,UnLearned,111.59,79.07,76.09,78.5,Null,Null,,,
15,DLGN-SF,3,512,mean,Learned,91.52,60.87,53.93,52.8,Null,Null,,,
16,DLGN-SF,4,256,mean,UnLearned,119.58,82.08,87.48,80.45,84.62,Null,,,
17,DLGN-SF,4,256,mean,Learned,113.35,82.45,72.55,72.98,64.39,Null,,,
18,DLGN-SF,4,512,mean,UnLearned,137.83,90.71,89.41,92.13,88.72,Null,,,
19,DLGN-SF,4,512,mean,Learned,119.99,67.28,69.27,72.76,62.99,Null,,,
20,DLGN-SF,5,256,mean,UnLearned,117.0,77.93,77.72,79.84,73.6,76.22,,,
21,DLGN-SF,5,256,mean,Learned,112.85,78.57,69.82,67.45,71.19,67.83,,,
22,DLGN-SF,5,512,mean,UnLearned,119.57,73.94,73.81,72.77,71.02,73.24,,,
23,DLGN-SF,5,512,mean,Learned,101.23,57.62,56.83,55.67,60.87,56.2,,,
0,MLP,1,32,mean,UnLearned,42.47,,,,,,,,
1,MLP,1,32,mean,Learned,56.46,,,,,,,,
2,MLP,1,64,mean,UnLearned,56.96,,,,,,,,
3,MLP,1,64,mean,Learned,70.82,,,,,,,,
4,MLP,1,128,mean,UnLearned,53.83,,,,,,,,
5,MLP,1,128,mean,Learned,73.45,,,,,,,,
0,DGN,1,32,mean,UnLearned,54.3,,,,,,,,
1,DGN,1,32,mean,Learned,64.59,,,,,,,,
2,DGN,1,64,mean,UnLearned,51.27,,,,,,,,
3,DGN,1,64,mean,Learned,67.04,,,,,,,,
4,DGN,1,128,mean,UnLearned,39.03,,,,,,,,
5,DGN,1,128,mean,Learned,54.88,,,,,,,,
6,DLGN,1,32,mean,UnLearned,75.4,,,,,,,,
7,DLGN,1,32,mean,Learned,109.44,,,,,,,,
